,Smiles_Solute,Smiles_Solvent,Smiles_Merged,LogS
22,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,CCCCOC(C)=O,C=C(C)[C@@H]1CC[C@]2(C3(=O)~O(CCCC)C(C)(=O)~O3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,-3.0840727883028842
23,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,CCOC=O,C=C(C)[C@@H]1CC[C@]2(C3(=O)~O(CC)C(=O)~O3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,-3.6989700043360187
24,C=C(C)[C@@H]1CC[C@]2(CO)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,CCC(C)O,C=C(C)[C@@H]1CC[C@@]23CC[C@]4(C)[C@H](CC[C@@H]5[C@@]6(C)CCC(O)(~OC(C)(CC)~OC2)C(C)(C)[C@@H]6CC[C@]54C)[C@@H]13,-3.1542819820333414
25,C=C(C)[C@@H]1CC[C@]2(CO)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,CCCCCCCCO,C=C(C)[C@@H]1CC[C@@]23CC[C@]4(C)[C@H](CC[C@@H]5[C@@]6(C)CCC(O)(~OC(CCCCCCC)~OC2)C(C)(C)[C@@H]6CC[C@]54C)[C@@H]13,-2.795880017344075
26,C=C(C)[C@@H]1CC[C@]2(CO)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,CCCCCCO,C=C(C)[C@@H]1CC[C@@]23CC[C@]4(C)[C@H](CC[C@@H]5[C@@]6(C)CCC(O)(~OC(CCCCC)~OC2)C(C)(C)[C@@H]6CC[C@]54C)[C@@H]13,-3.1284270644541214
27,C=C(C)[C@@H]1CC[C@]2(CO)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,CCOC=O,C=C(C)[C@@H]1CC[C@@]23CC[C@]4(C)[C@H](CC[C@@H]5[C@@]6(C)CCC(O)(~O(CC)C(=O)~OC2)C(C)(C)[C@@H]6CC[C@]54C)[C@@H]13,-3.521433504406157
28,C=C(C)[C@@H]1CC[C@]2(CO)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,CN1CCCC1=O,C=C(C)[C@@H]1CC[C@@]23CC[C@]4(C)[C@H](CC[C@@H]5[C@@]6(C)CCC(O)(~N7(C)CCCC7(=O)~OC2)C(C)(C)[C@@H]6CC[C@]54C)[C@@H]13,-2.260427655549908
29,C=C(C)[C@@H]1CC[C@]2(CO)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,COC(C)=O,C=C(C)[C@@H]1CC[C@@]23CC[C@]4(C)[C@H](CC[C@@H]5[C@@]6(C)CCC(O)(~O(C)C(C)(=O)~OC2)C(C)(C)[C@@H]6CC[C@]54C)[C@@H]13,-3.223298816011589
30,C=C(C)[C@@H]1CC[C@]2(CO)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,ClC(Cl)Cl,C=C(C)[C@@H]1CC[C@@]23CC[C@]4(C)[C@H](CC[C@@H]5[C@@]6(C)CCC(O)(~ClC(Cl)(Cl)~OC2)C(C)(C)[C@@H]6CC[C@]54C)[C@@H]13,-2.5846927077744324
31,C=C(C)[C@@H]1CC[C@]2(CO)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,ClCCl,C=C(C)[C@@H]1CC[C@@]23CC[C@]4(C)[C@H](CC[C@@H]5[C@@]6(C)CCC(O)(~ClC(Cl)~OC2)C(C)(C)[C@@H]6CC[C@]54C)[C@@H]13,-3.1023729087095586
32,C=C1CCC[C@]2(C)C[C@]3(O)OC(=O)C(C)=C3C[C@@H]12,CCCCCC,C=C1CCC[C@]2(C)C[C@@]3(O)C(=C(C)C4(=O)~CCC(CCC)~O43)C[C@@H]12,-4.61261017366127
33,C=C1CCC[C@]2(C)C[C@]3(O)OC(=O)C(C)=C3C[C@@H]12,CCOCC,C=C1CCC[C@]2(C)C[C@@]3(O)C(=C(C)C4(=O)~O(CC)C(C)~O43)C[C@@H]12,-2.5575202309355514
34,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,CCC(C)=O,C=CC1(=O)~O=C(C)(CC)~O(c2ccccc2)c2ccc(cc2)-c2nn(c3ncnc(N)c23)[C@@H]2CCCN1C2,-2.260427655549908
35,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,COC(C)(C)C,C=CC1(=O)~O(C)C(C)(C)(C)~O(c2ccccc2)c2ccc(cc2)-c2nn(c3ncnc(N)c23)[C@@H]2CCCN1C2,-3.648396927580871
36,C=CC(=O)NC(C)(C)C,CC(=O)N(C)C,C=CC1(=O)~N(C)(C)C(C)(=O)~N1C(C)(C)C,-1.0891622350073165
37,C=CC(=O)NC(C)(C)C,ClCCl,C=CC1(=O)~ClC(Cl)~N1C(C)(C)C,-2.2669633170664207
38,C=CC(=O)NC(C)(C)C,NC=O,C=CC1(=O)~NC(=O)~N1C(C)(C)C,-3.107849722098636
39,C=CC(=O)NC(C)(C)CS(=O)(=O)O,C1CCCCC1,C=CC(=O)N1~C2(~S(=O)(=O)(O)CC1(C)C)CCCCC2,-4.577574323628795
40,C=CC(=O)NC(C)(C)CS(=O)(=O)O,CC(C)CO,C=CC(=O)N1~C(C(C)C)O~S(=O)(=O)(O)CC1(C)C,-2.639406586434751
41,C=CC(=O)NC(C)(C)CS(=O)(=O)O,CCCCCCCO,C=CC(=O)N1~C(CCCCCC)O~S(=O)(=O)(O)CC1(C)C,-2.4859838195993507
42,C=CC(=O)NC(C)(C)CS(=O)(=O)O,OCCO,C=CC(=O)N1~C(CO)O~S(=O)(=O)(O)CC1(C)C,-3.3340439705460434
43,C=CC(=O)Nc1cc(F)c(Br)c(F)c1,c1ccncc1,C=CC1(=O)~n2ccccc2~N1c1cc(F)c(Br)c(F)c1,-0.8560488835760365
44,C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OCC(=O)O)c3csc(N)n3)[C@H]2SC1.O.O.O,CCC(C)O,C=CC1=C2N3C(=O)[C@@H](NC(=O)/C(c4csc(N)n4)=N\OCC(=O)O~C(C)(CC)O~C2(=O)O)[C@H]3SC1.O.O.O,-3.0462403082667713
45,C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OCC(=O)O)c3csc(N)n3)[C@H]2SC1.O.O.O,CCCCCO,C=CC1=C2N3C(=O)[C@@H](NC(=O)/C(c4csc(N)n4)=N\OCC(=O)O~C(CCCC)O~C2(=O)O)[C@H]3SC1.O.O.O,-3.3946949538588904
46,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,C1CCOC1,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC5(=O)~O6CCCC6~N(C)(C)c6ccc(cc6)[C@@H](C[C@@]21C)C3=C4CC5,-4.287350298372789
47,CC(=NC#N)N(C)Cc1ccc(Cl)nc1,CC(C)CO,CC1=NC(#N)~OC(C(C)C)~N1(C)Cc1ccc(Cl)nc1,-2.552376902239714
48,CC(=NC#N)N(C)Cc1ccc(Cl)nc1,CN1CCCC1=O,CC1=NC(#N)~N2(C)CCCC2(=O)~N1(C)Cc1ccc(Cl)nc1,-0.7061956400806633
49,CC(=NC#N)N(C)Cc1ccc(Cl)nc1,CS(C)=O,CC1=NC(#N)~O=S(C)(C)~N1(C)Cc1ccc(Cl)nc1,-0.4250432242354932
50,CC(=NC#N)N(C)Cc1ccc(Cl)nc1,OCCO,CC1=NC(#N)~OC(CO)~N1(C)Cc1ccc(Cl)nc1,-2.009483555971771
51,CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I,C1CCCCC1,CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C2(=O)~C3(~OCC(O)CN2)CCCCC3)c1I,-5.027797161620936
52,CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I,CCC(C)=O,CCC1(C)~OCC(O)CNC(=O)(c2c(I)c(C(=O)NCC(O)CO)c(I)c(N(CC(O)CO)C(C)=O)c2I)~O=1,-3.8288588489716178
53,CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I,CS(C)=O,CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C2(=O)~O=S(C)(C)~OCC(O)CN2)c1I,-3.532391894416367
54,CC(=O)N1CCC[C@H]1C(=O)O,CC(C)CO,CC(=O)N1CCC[C@H]1C1(=O)~OC(C(C)C)~O1,-1.348721986001856
55,CC(=O)N1CCC[C@H]1C(=O)O,CCC(C)=O,CCC1(C)~OC(=O)([C@@H]2CCCN2C(C)=O)~O=1,-1.9457700901366026
56,CC(=O)N1CCC[C@H]1C(=O)O,CCC(C)O,CCC1(C)~OC(=O)([C@@H]2CCCN2C(C)=O)~O1,-1.3671379598997702
57,CC(=O)N1CCC[C@H]1C(=O)O,CCCCCO,CCCCC1~OC(=O)([C@@H]2CCCN2C(C)=O)~O1,-1.4238891058791603
58,CC(=O)N1CCC[C@H]1C(=O)O,COC(C)=O,CC(=O)N1CCC[C@H]1C1(=O)~O(C)C(C)(=O)~O1,-2.2204035087421756
59,CC(=O)N1CCC[C@H]1C(=O)O,ClCCl,CC(=O)N1CCC[C@H]1C1(=O)~ClC(Cl)~O1,-1.4734022908965478
60,CC(=O)NCC(=O)O,CC(C)CO,CC(=O)NCC1(=O)~OC(C(C)C)~O1,-2.8074325466634544
61,CC(=O)NCC(=O)O,CCC(C)O,CCC1(C)~OC(=O)(CNC(C)=O)~O1,-2.622329560665677
62,CC(=O)NCC(=O)O,CCCCCO,CCCCC1~OC(=O)(CNC(C)=O)~O1,-2.8833922560117515
63,CC(=O)N[C@@H](CC(C)C)C(=O)O,CC(C)CO,CC(=O)N[C@@H](CC(C)C)C1(=O)~OC(C(C)C)~O1,-1.830325565941193
64,CC(=O)N[C@@H](CC(C)C)C(=O)O,CCC(C)O,CCC1(C)~OC(=O)([C@H](CC(C)C)NC(C)=O)~O1,-1.7512912643990821
65,CC(=O)N[C@@H](CC(C)C)C(=O)O,CCCOC(C)=O,CCCO1~C(=O)([C@H](CC(C)C)NC(C)=O)O~C1(C)=O,-3.0602811176458955
66,CC(=O)N[C@@H](CC(C)C)C(=O)O,COC(C)=O,CC(=O)N[C@@H](CC(C)C)C1(=O)~O(C)C(C)(=O)~O1,-2.975514332300833
67,CC(=O)Nc1ccc(C(=O)O)cc1,CC(=O)O,CC(=O)Nc1ccc(C2(=O)~OC(C)(=O)~O2)cc1,-2.394048842435127
68,CC(=O)Nc1ccc(C(=O)O)cc1,CC(C)CO,CC(=O)Nc1ccc(C2(=O)~OC(C(C)C)~O2)cc1,-2.454198242840724
69,CC(=O)Nc1ccc(C(=O)O)cc1,CCC(C)O,CCC1(C)~OC(=O)(c2ccc(NC(C)=O)cc2)~O1,-2.288361461767651
70,CC(=O)Nc1ccc(C(=O)O)cc1,CCCCCO,CCCCC1~OC(=O)(c2ccc(NC(C)=O)cc2)~O1,-2.2949063894521267
71,CC(=O)Nc1ccc(O)cc1,CCCCCCCCO,CCCCCCCC1~Oc2ccc(cc2)NC(C)(=O)~O1,-2.0861861476162833
72,CC(=O)Nc1ccc(O)cc1,CCCCCO,CCCCC1~Oc2ccc(cc2)NC(C)(=O)~O1,-1.4202164033831899
73,CC(=O)Nc1ccc(O)cc1,CCOCCOCCO,CCOCC1~Oc2ccc(cc2)NC(C)(=O)~OCCO1,-0.9546770212133425
74,CC(=O)Nc1ccc(OC(=O)c2ccccc2OC(C)=O)cc1,CCC(C)=O,CCC1(C)~O(C(C)=O)c2ccccc2C(=O)(Oc2ccc(NC(C)=O)cc2)~O=1,-2.6020599913279625
75,CC(=O)Nc1ccc(OC(=O)c2ccccc2OC(C)=O)cc1,CCCCCOC(C)=O,CCCCCO1~C(=O)(Oc2ccc(NC(C)=O)cc2)c2ccccc2O(C(C)=O)~C1(C)=O,-3.4064924106682346
76,CC(=O)Nc1ccc(OC(=O)c2ccccc2OC(C)=O)cc1,CN1CCCC1=O,CC(=O)Nc1ccc(OC2(=O)~N3(C)CCCC3(=O)~O(C(C)=O)c3ccccc32)cc1,-1.6792307716613135
77,CC(=O)Nc1ccc(OC(=O)c2ccccc2OC(C)=O)cc1,CS(C)=O,CC(=O)Nc1ccc(OC2(=O)~O=S(C)(C)~O(C(C)=O)c3ccccc32)cc1,-1.414426481377269
78,CC(=O)Nc1ccccc1[N+](=O)[O-],C1CCCCC1,CC(=O)N1~C2(~c3([N+](=O)[O-])ccccc31)CCCCC2,-2.9738754832545498
79,CC(=O)Nc1ccccc1[N+](=O)[O-],CC(C)CO,CC(=O)N1~C(C(C)C)O~c2([N+](=O)[O-])ccccc21,-2.0475950604229753
80,CC(=O)Nc1ccccc1[N+](=O)[O-],CCCCCCCO,CCCCCCC1~N(C(C)=O)c2ccccc2([N+](=O)[O-])~O1,-2.2026631992246504
81,CC(=O)Nc1ccccc1[N+](=O)[O-],CN1CCCC1=O,CC(=O)N1~C2(=O)CCCN2(C)~c2([N+](=O)[O-])ccccc21,-0.7108571640676669
82,CC(=O)Nc1ccccc1[N+](=O)[O-],OCCO,CC(=O)N1~C(CO)O~c2([N+](=O)[O-])ccccc21,-2.3335756274812405
83,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3C(=O)C[C@@]21C,ClC(Cl)Cl,CC1(=O)~ClC(Cl)(Cl)~O1CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3C(=O)C[C@@]21C,-1.9685915357483759
84,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3C(=O)C[C@@]21C,ClCCCl,CC1(=O)~ClC(CCl)~O1CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3C(=O)C[C@@]21C,-2.709965388637482
85,CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC=C(C(C)=O)[C@@]4(C)CC[C@@H]32)C1,C1CCCCC1,CC(=O)C1=CC[C@H]2[C@@H]3CC=C4C[C@@H](O5~C6(~C5(C)=O)CCCCC6)CC[C@]4(C)[C@H]3CC[C@]12C,-2.6734593314834383
86,CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CCC(=O)[C@@]4(C)CC[C@@H]32)C1,C1CCCCC1,CC1(=O)~C2(~O1[C@H]1CC[C@@]3(C)C(=CC[C@@H]4[C@@H]3CC[C@]3(C)C(=O)CC[C@@H]43)C1)CCCCC2,-2.5329841815615644
87,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@]4(C)[C@H]3CC[C@@]21C,C1CCOC1,CC(=O)[C@@]1(O2~C3CCCO3~C2(C)=O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@]4(C)[C@H]3CC[C@@]21C,-3.330552943597457
88,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@]4(C)[C@H]3CC[C@@]21C,COC(C)(C)C,CC(=O)[C@@]1(O2~C(C)(C)(C)O(C)~C2(C)=O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@]4(C)[C@H]3CC[C@@]21C,-3.1705932954906113
89,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@]4(C)[C@H]3CC[C@@]21C,ClC(Cl)Cl,CC(=O)[C@@]1(O2~C(Cl)(Cl)Cl~C2(C)=O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@]4(C)[C@H]3CC[C@@]21C,-3.3351418710342258
90,CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1,CN1CCCC1=O,CC(=O)Oc1ccc(C(c2ccc(O3~C4(=O)CCCN4(C)~C3(C)=O)cc2)c2ccccn2)cc1,-2.7290883605895186
91,CC(=O)Oc1ccc(C2CC(=O)c3c(OC(C)=O)cc(OC(C)=O)cc3O2)cc1,C1CCOC1,CC(=O)Oc1ccc(C2CC(=O)c3c4cc(OC(C)=O)cc3O2~C2CCCO2~C(C)(=O)O4)cc1,-1.3842603113808452
92,CC(=O)Oc1ccc(C2CC(=O)c3c(OC(C)=O)cc(OC(C)=O)cc3O2)cc1,CCC(C)O,CCC1(C)~O2c3cc(OC(C)=O)cc(c3C(=O)CC2c2ccc(OC(C)=O)cc2)OC(C)(=O)~O1,-3.6655462488490693
93,CC(=O)Oc1ccc(C2CC(=O)c3c(OC(C)=O)cc(OC(C)=O)cc3O2)cc1,CCCCCCO,CCCCCC1~O2c3cc(OC(C)=O)cc(c3C(=O)CC2c2ccc(OC(C)=O)cc2)OC(C)(=O)~O1,-4.7447274948966935
94,CC(=O)Oc1ccc(C2CC(=O)c3c(OC(C)=O)cc(OC(C)=O)cc3O2)cc1,CCCCCO,CCCCC1~O2c3cc(OC(C)=O)cc(c3C(=O)CC2c2ccc(OC(C)=O)cc2)OC(C)(=O)~O1,-3.6038006529042637
95,CC(=O)Oc1ccc(C2CC(=O)c3c(OC(C)=O)cc(OC(C)=O)cc3O2)cc1,CCCCOCCO,CCCCOC1~O2c3cc(OC(C)=O)cc(c3C(=O)CC2c2ccc(OC(C)=O)cc2)OC(C)(=O)~OC1,-2.744245213356956
96,CC(=O)Oc1ccc(C2CC(=O)c3c(OC(C)=O)cc(OC(C)=O)cc3O2)cc1,CCCOCCO,CCCOC1~O2c3cc(OC(C)=O)cc(c3C(=O)CC2c2ccc(OC(C)=O)cc2)OC(C)(=O)~OC1,-2.313900228004084
97,CC(=O)Oc1ccc(C2CC(=O)c3c(OC(C)=O)cc(OC(C)=O)cc3O2)cc1,COCCO,COC1~O2c3cc(OC(C)=O)cc(c3C(=O)CC2c2ccc(OC(C)=O)cc2)OC(C)(=O)~OC1,-2.077845674768941
98,CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1,CCC(C)=O,CCC1(C)~O(C(C)=O)c2ccccc2C(=O)Nc2ncc([N+](=O)[O-])(~O=1)s2,-2.4765136676567723
99,CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1,CN1CCCC1=O,CC(=O)O1~C2(=O)CCCN2(C)~c2([N+](=O)[O-])cnc(s2)NC(=O)c2ccccc21,-1.056357117247871
100,CC(=O)Oc1ccccc1C(=O)O,CC(=O)CC(C)C,CC(=O)Oc1ccccc1C1(=O)~O=C(C)(CC(C)C)~O1,-1.7077439286435239
101,CC(=O)Oc1ccccc1C(=O)O,CC(=O)OCC(C)C,CC(=O)Oc1ccccc1C1(=O)~O(CC(C)C)C(C)(=O)~O1,-1.9625735020593764
102,CC(=O)Oc1ccccc1C(=O)O,CC(C)CO,CC(=O)Oc1ccccc1C1(=O)~OC(C(C)C)~O1,-2.008773924307505
103,CC(=O)Oc1ccccc1C(=O)O,CC(O)CO,CC(=O)Oc1ccccc1C1(=O)~OCC(C)(O)~O1,-1.7695510786217261
104,CC(=O)Oc1ccccc1C(=O)O,CCCCCCCCO,CCCCCCCC1~OC(=O)(c2ccccc2OC(C)=O)~O1,-2.0
105,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,ClC(Cl)Cl,CC1(=O)~ClC(Cl)(Cl)~O[C@H]2C[C@@]3(C)[C@@H](CC[C@]13O)[C@@H]1CCC3=CC(=O)CC[C@]3(C)[C@H]12,-1.8910968723326866
